id;region;autre_region;departement_dakar;departement_diourbel;departement_fatick;departement_kaffrine;departement_kaolack;departement_kedougou;departement_kolda;departement_louga;departement_matam;departement_saint;departement_sedhiou;departement_tambacounda;departement_this;departement_ziguinchor;autredepartement_dakar;autredepartement_diourbel;autredepartement_fatick;autredepartement_kaffrine;autredepartement_kaolack;autredepartement_kedougou;autredepartement_kolda;autredepartement_louga;autredepartement_matam;autredepartement_saint;autredepartement_sedhiou;autredepartement_tambacounda;autredepartement_this;autredepartement_ziguinchor;commune;nom_quartier
1;THIES;Chips;DAKAR;MBACKE;GOSSAS;KAFFRINE;NIORO;SALAMATA;KOLDA;KEBEMERE;MATAM;PODOR;BOUNKILING;GOUDIRY;TIVAOUANE;BIGNONA;circuit;capacitor solution panel;d’Ivoire;b discrete;Fish Loan Superviseur;invoice green;Stagiaire protocol;Rustic Games Loan;copy;white Latvian Shirt;wireless Licensed clicks-and-mortar;Plastic;Steel Ergonomic a;grey mobile;back-end PCI b;Fresh
2;FATICK;Soap;DAKAR;MBACKE;AUTRE;BIRKILANE;GUINGUINEO;SALAMATA;VELINGARA;LOUGA;RANEROU_FERLO;AUTRE;SEDHIOU;AUTRE;MBOUR;OUSSOUYE;Optimized asymmetric;wireless Zimbabwe Cambridgeshire;applications Salad;SMTP Picardie;TCP;applications Poitou-Charentes;azure;Licensed;transform;Pizza Basse-Normandie;a Small a;quantify;mobile PNG;Keyboard engineer;navigating HDD Shirt;web Pizza
3;SEDHIOU;deploy;RUFISQUE;MBACKE;GOSSAS;KOUNGHEUR;GUINGUINEO;AUTRE;MEDINA_YORO_FOULAH;KEBEMERE;KANELKANEL;AUTRE;GOUDOMP;GOUDIRY;MBOUR;BIGNONA;Gorgeous Versatile Chicken;microchip Languedoc-Roussillon;parsing calculate Auto;Gorgeous;communities;Joubert Tuna calculate;Manager;initiatives;Honduras Forint Limousin;Tasty;c Account Refined;a channels Bourgogne;grow Chine;digital Alsace;quantify Lorraine generate;compelling payment up
4;AUTRE;quantifying;RUFISQUE;AUTRE;FATICK;KAFFRINE;KAOLOACK;AUTRE;MEDINA_YORO_FOULAH;LOUGA;RANEROU_FERLO;DAGANA;BOUNKILING;AUTRE;MBOUR;OUSSOUYE;eco-centric state value-added;Fantastic teal;Charron Île-de-France Bedfordshire;encompassing Account;SDD Salad;content quantifying convergence;Uruguayo;target Analyste user-facing;initiatives;azure Île-de-France deliver;enterprise application ivory;Soft navigate Argentine;web-enabled Checking;Panoramas;Handmade;Rubber b Unbranded
5;FATICK;conglomeration firewall;AUTRE;DIOURBEL;GOSSAS;KAFFRINE;NIORO;KEDOUGOU;MEDINA_YORO_FOULAH;KEBEMERE;AUTRE;PODOR;AUTRE;KOUMPENTOUM;MBOUR;ZICHUINCHOR;grey SCSI;c Montorgueil;synthesize;b Auvergne;supply-chains payment bypass;Coordinateur Buckinghamshire;product syndicate;digital;withdrawal;Producteur JBOD Administrateur;RAM;PCI parse primary;Cambridgeshire;innovate Cambridgeshire Avon;incubate Bretagne;online
6;MATAM;protocol Front-line;RUFISQUE;DIOURBEL;GOSSAS;KAFFRINE;AUTRE;SARAYA;VELINGARA;KEBEMERE;AUTRE;PODOR;AUTRE;KOUMPENTOUM;MBOUR;BIGNONA;Dahomey a Berkshire;digital Soft global;Sierra tangible;firewall Assistant;a;Sausages a Concrete;index schemas visualize;wireless la Sleek;vortals redundant;Account;XML;input;magenta Gloves;COM product c;channels Shoes Soft;connect metrics
7;FATICK;b c Swaziland;DAKAR;MBACKE;GOSSAS;AUTRE;GUINGUINEO;KEDOUGOU;VELINGARA;KEBEMERE;AUTRE;DAGANA;AUTRE;KOUMPENTOUM;AUTRE;OUSSOUYE;one-to-one Chips secondary;Gambie Dinar calculate;blue actuating Concrete;Bourgogne;adapter;open-source;Paris copy;c Unbranded haptic;Sports;Sausages a b;Rustic;c;attitude Oro;Liban Refined;IB invoice copy;group
8;SAINT_LOUIS;copying;GUEDIAWAYE;AUTRE;FOUNDIOUGNE;KOUNGHEUR;AUTRE;SARAYA;MEDINA_YORO_FOULAH;LOUGA;KANELKANEL;AUTRE;SEDHIOU;TAMBACOUNDA;AUTRE;ZICHUINCHOR;Haute-Normandie a;interface networks Gloves;SSL visualize;explicit;Generic;algorithm world-class;HDD;c;Designer Saint-Dominique Unbranded;Franc;visualize;payment;Industrial IB Avon;e-business;Awesome wireless;Analyste lavender
9;KEDOUGOU;ivory Cambridgeshire;PIKINE;AUTRE;GOSSAS;AUTRE;GUINGUINEO;AUTRE;KOLDA;KEBEMERE;RANEROU_FERLO;DAGANA;BOUNKILING;BAKEL;MBOUR;AUTRE;Cross-group calculate Tuna;magenta;Account Pizza;cross-platform;non-volatile intuitive;des Producteur Kiribati;interface;deposit Nord-Pas-de-Calais;model;FTP Saint-Jacques Helena;optical;Bahraini microchip Avon;b Sleek next;Sausages Streamlined;Manat;Som Agent Intelligent
10;DIOURBEL;Somalie Market;PIKINE;MBACKE;FATICK;KOUNGHEUR;KAOLOACK;SARAYA;VELINGARA;LOUGA;KANELKANEL;AUTRE;SEDHIOU;TAMBACOUNDA;THIES;BIGNONA;experiences;Cloned plum;engineer SMTP;frame navigate b;Frozen;Awesome Maldives;dot-com Music SMS;c CSS;calculating Poitou-Charentes calculating;Laffitte infrastructures;Steel markets payment;Card Tunisie;b;action-items online;Mouse;AI Euro alarm
